Feature_1,Feature_2,Feature_3,Feature_4,Target
0.496714153,-0.138264301,0.647688538,1.523029856,0
-0.234136957,1.579212816,0.767434729,-0.469474386,0
-0.463417693,-0.465729754,0.241962272,-1.913280245,0
-0.562287529,-1.01283112,0.314247333,-0.908024076,0
1.465648769,-0.2257763,0.067528205,-1.424748186,0
0.11092259,-1.150993577,0.375698018,-0.60063869,2
-0.601706612,1.852278185,-0.013497225,-1.057710929,1
-1.22084365,0.208863595,-1.959670124,-1.328186049,2
0.73846658,0.171368281,-0.115648282,-0.301103696,0
-0.719844208,-0.460638771,1.057122226,0.34361829,0
0.324083969,-0.38508228,-0.676922,0.611676289,2
0.931280119,-0.839217523,-0.309212376,0.331263431,2
-0.479174238,-0.185658977,-1.106334974,-1.196206624,2
1.356240029,-0.072010122,1.003532898,0.361636025,0
0.361395606,1.538036566,-0.035826039,1.564643656,0
0.821902504,0.087047068,-0.29900735,0.091760777,0
-0.219671888,0.357112572,1.477894045,-0.518270218,0
-0.501757044,0.915402118,0.32875111,-0.529760204,2
0.097077549,0.968644991,-0.702053094,-0.327662147,1
-1.463514948,0.296120277,0.261055272,0.005113457,0
-1.415370742,-0.420645323,-0.342714517,-0.802277269,2
0.404050857,1.886185901,0.174577813,0.257550391,1
-1.918771215,-0.026513875,0.06023021,2.463242112,0
0.301547342,-0.03471177,-1.168678038,1.142822815,2
0.791031947,-0.909387455,1.402794311,-1.401851063,0
2.190455626,-0.990536325,-0.56629773,0.099651365,2
-1.550663431,0.068562975,-1.062303714,0.473592431,2
1.549934405,-0.783253292,-0.322061516,0.813517217,0
0.227459935,1.307142754,-1.607483235,0.184633859,1
0.781822872,-1.236950711,-1.320456613,0.521941566,2
0.25049285,0.346448209,-0.680024722,0.232253697,2
-0.714351418,1.865774511,0.473832921,-1.191303497,1
-0.97468167,0.787084604,1.158595579,-0.820682318,0
0.412780927,0.82206016,1.896792983,-0.245388116,0
-0.88951443,-0.815810285,-0.077101709,0.341151975,2
0.827183249,0.013001892,1.453534077,-0.264656833,2
0.625667348,-0.857157556,-1.070892498,0.482472415,2
0.714000494,0.473237625,-0.072828913,-0.846793718,0
-0.446514952,0.856398794,0.214093744,-1.245738779,0
0.38531738,-0.883857436,0.153725106,0.058208718,0
0.35778736,0.560784526,1.083051243,1.053802052,0
-0.93782504,0.515035267,0.513785951,0.515047686,2
0.570890511,1.13556564,0.954001763,0.651391251,0
0.75896922,-0.772825215,-0.236818607,-0.485363548,2
2.314658567,-1.867265193,0.68626019,-1.612715871,0
1.088950597,0.064280019,-1.077744778,-0.715303709,2
-0.730366632,0.21645859,0.04557184,-0.651600348,2
0.633919022,-2.025142587,0.186454315,-0.661786465,2
-0.792520738,-0.114736441,0.504987279,0.865755194,0
-0.334501236,-0.474945311,-0.653329233,1.76545424,2
-1.260883954,0.917861947,2.122156197,1.032465261,0
-0.484234073,1.266911149,-0.707669466,0.443819428,2
-0.926930472,-0.059525356,-3.24126734,-1.024387641,2
-1.247783182,1.632411304,-1.430141378,-0.440044487,1
1.441273289,-1.435862151,1.163163752,0.010233061,0
0.462103474,0.199059696,-0.600216877,0.069802085,2
0.113517345,0.662130675,1.586016816,-1.237815499,2
-1.9520878,-0.151785095,0.588317206,0.280991868,0
-0.20812225,-0.493000935,-0.589364757,0.849602097,2
-0.692909595,0.899599875,0.307299521,0.812862119,2
-0.828995011,-0.56018104,0.747293605,0.610370265,0
0.117327383,1.277664896,-0.591571389,0.547097381,1
-0.217681203,1.098776852,0.825416349,0.813509636,2
0.021003842,0.681952971,-0.310266757,0.324166352,2
0.096995965,0.595157025,-0.818220683,2.092387276,1
-1.214188613,1.158110874,0.791662694,0.624119817,0
-0.012246773,-0.897254371,0.075804558,-0.677161712,2
-0.147057382,-0.825497197,-0.321385842,0.412931454,2
-0.822220396,0.243687211,0.244966571,-0.506943175,0
0.232049937,-1.448084341,-1.407463774,-0.718444221,2
0.310907566,1.475356217,0.857659623,-0.15993853,0
-1.002529365,-0.018513136,-0.288658639,0.32271856,0
0.519346514,1.532738913,-0.108760148,0.401711722,1
-0.401220472,0.224092482,0.012592401,0.097676099,0
0.024510174,0.497998291,1.451143608,0.959270826,2
-0.767347563,0.872320637,0.183342006,2.189802933,0
-0.839721842,-0.599392645,-2.123895724,-0.525755022,2
0.150393786,0.341755976,1.876170839,0.950423838,0
-0.898414671,0.491919172,-1.320233207,1.831458766,2
-0.469175652,-1.713134529,1.353872374,-0.114539845,2
-1.594427659,-0.599375023,0.0052437,0.046980594,0
0.622849932,-1.067620429,-0.142379485,0.120295632,2
0.711614878,-1.124642092,-1.534114171,1.277676822,2
-0.748486537,1.551151976,0.115674634,1.179297184,1
2.060747925,1.755340842,-0.248964148,0.971570951,1
1.368631558,-0.964923461,0.68605146,1.058424487,0
-1.183258513,-2.039232178,-0.269406834,0.717542256,2
0.07409478,1.628615546,-1.380101458,-1.703382439,1
0.384065449,-0.032694748,-2.0674421,-0.08912004,1
0.669672549,0.366598246,-0.939879786,-0.513866917,1
-0.062679097,0.955142321,-0.985726046,0.504046516,1
-0.792872832,-0.10703036,-1.035242322,-0.553649305,0
1.964725133,0.035263552,-0.699725508,0.213979911,2
-0.2209696,0.6141667,0.75750771,-0.530501148,0
-0.275051697,-2.301921165,-1.515191062,1.366874267,2
-0.24903604,0.576556963,0.311250155,3.078880808,2
-0.127917591,-0.955540441,-1.60644632,0.203463636,2
-1.42225371,-0.646572884,-1.081548004,1.687141635,2
-0.007972641,1.479944139,0.077368308,-0.861284201,2
0.538910044,-1.037246154,-0.190338678,-0.875618253,0
0.926177548,1.90941664,-1.398567574,0.562969237,1
-0.487125384,-0.592393924,-0.86399077,0.048521628,2
0.270456826,-0.050238109,-0.238948047,-0.907563662,0
0.755391226,0.500917188,-0.977555245,0.099332305,2
-1.669405281,0.543360192,-0.662623759,0.570598669,0
-1.804882101,-1.627542438,0.048084947,0.259722502,0
0.638592459,-1.661520062,-0.066079799,-1.2110162,2
0.047398671,-0.860413365,-0.384555544,1.006292809,2
0.835692112,-1.129706855,0.529804178,1.441568621,0
-0.796895255,0.577072127,-0.203045386,0.371145873,0
0.086589787,-0.155677235,1.167782062,0.254420843,0
-0.411876966,-0.487606224,-0.432558188,0.394452142,2
0.289774857,2.075400799,0.871124703,-0.326023532,1
-0.408075373,-2.038124535,-1.008086311,-1.870791921,2
0.018418379,1.676437312,0.326927374,-0.219100529,1
-2.211135309,0.235614558,0.770865194,-1.478586246,2
0.338496407,-0.415287914,0.632781866,2.270692858,2
